(198, 3780)
(251, 3739)
(251, 3739)
(399, 3732)
(251, 3739)
(251, 3739)
(383, 3555)
(251, 3739)
(395, 3546)
(392, 3539)
(492, 3609)
(385, 3544)
(198, 3780)
(470, 3719)
(386, 3532)
(491, 3614)
(481, 3528)
(494, 3658)
(488, 3618)
(198, 3745)
(402, 3545)
(293, 3455)
(253, 3758)
(490, 3569)
(381, 3772)
(401, 3538)
(298, 3778)
(473, 3544)
(262, 3760)
(390, 3532)
(329, 3750)
(475, 3530)
(198, 3780)
(182, 3767)
(292, 3773)
(191, 3775)
(339, 3597)
(304, 3843)
(390, 3748)
(426, 3515)
(163, 3739)
(193, 3771)
(184, 3774)
(406, 3480)
(193, 3721)
(479, 3703)
(310, 3471)
(380, 3756)
(383, 3761)
(170, 3723)
(354, 3693)
(196, 3774) 
(167, 3737)
(361, 3743)
(205, 3738)
(236, 3754)
(457, 3677)
(433, 3489)
(379, 3468) 
(370, 3467)
(490, 3707)
(378, 3465)
(496, 3646)
(176, 3731)
(378, 3469)
(413, 3487)
(157, 3839)
(378, 3469) 
(351, 3469)
(377, 3857)
(260, 3473)
(245, 3816)
(371, 3813)
(176, 3750)
(330, 3651)
(139, 3815)
(390, 3748)
(390, 3748)
(367, 3762)
(283, 3758)
(459, 3763)
(289, 3766)
(376, 3763)
(332, 3764)
(168, 3786)
(371, 3754)
(176, 3733)
(409, 3480)
(298, 3779)
(166, 3813)
(449, 3728)
(248, 3822)
(491, 3646)
(261, 3836)
(223, 3764)
(323, 3640) 
